ID,Year_Birth,Age,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total Amount,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,purchases item count
5524,1957,67,Graduation,Single,58138,58,635,88,546,172,88,88,1617,3,8,10,4,25
2174,1954,70,Graduation,Single,46344,38,11,1,6,2,1,6,27,2,1,1,2,6
4141,1965,59,Graduation,Together,71613,26,426,49,127,111,21,42,776,1,8,2,10,21
6182,1984,40,Graduation,Together,26646,26,11,4,20,10,3,5,53,2,2,0,4,8
5324,1981,43,PhD,Married,58293,94,173,43,118,46,27,15,422,5,5,3,6,19
7446,1967,57,Master,Together,62513,16,520,42,98,0,42,14,716,2,6,4,10,22
965,1971,53,Graduation,Divorced,55635,34,235,65,164,50,49,27,590,4,7,3,7,21
6177,1985,39,PhD,Married,33454,32,76,10,56,3,1,23,169,2,4,0,4,10
4855,1974,50,PhD,Together,30351,19,14,0,24,3,3,2,46,1,3,0,2,6
5899,1950,74,PhD,Together,5648,68,28,0,6,1,1,13,49,1,1,0,0,2
1994,1983,41,Graduation,Married,,11,5,5,6,0,2,1,19,1,1,0,2,4
387,1976,48,Basic,Married,7500,59,6,16,11,11,1,16,61,1,2,0,3,6
2125,1959,65,Graduation,Divorced,63033,82,194,61,480,225,112,30,1102,1,3,4,8,16
8180,1952,72,Master,Divorced,59354,53,233,2,53,3,5,14,310,3,6,1,5,15
2569,1987,37,Graduation,Married,17323,38,3,14,17,6,1,5,46,1,1,0,3,5
2114,1946,78,PhD,Single,82800,23,1006,22,115,59,68,45,1315,1,7,6,12,26
9736,1980,44,Graduation,Married,41850,51,53,5,19,2,13,4,96,3,3,0,3,9
4939,1946,78,Graduation,Together,37760,20,84,5,38,150,12,28,317,2,4,1,6,13
6565,1949,75,Master,Married,76995,91,1012,80,498,0,16,176,1782,2,11,4,9,26
2278,1985,39,2n Cycle,Single,33812,86,4,17,19,30,24,39,133,2,2,1,3,8
9360,1982,42,Graduation,Married,37040,41,86,2,73,69,38,48,316,1,4,2,5,12
5376,1979,45,Graduation,Married,2447,42,1,1,1725,1,1,1,1730,15,0,28,0,43
1993,1949,75,PhD,Married,58607,63,867,0,86,0,0,19,972,3,2,3,9,17
4047,1954,70,PhD,Married,65324,0,384,0,102,21,32,5,544,3,6,2,9,20
1409,1951,73,Graduation,Together,40689,69,270,3,27,39,6,99,444,7,7,1,5,20
7892,1969,55,Graduation,Single,18589,89,6,4,25,15,12,13,75,2,2,1,3,8
2404,1976,48,Graduation,Married,53359,4,173,4,30,3,6,41,257,4,5,1,4,14
5255,1986,38,Graduation,Single,,19,5,1,3,3,263,362,637,0,27,0,0,27
9422,1989,35,Graduation,Married,38360,26,36,2,42,20,21,10,131,2,2,1,4,9
1966,1965,59,PhD,Married,84618,96,684,100,801,21,66,0,1672,1,6,9,10,26
6864,1989,35,Master,Divorced,10979,34,8,4,10,2,2,4,30,2,3,0,3,8
3033,1963,61,Master,Together,38620,56,112,17,44,34,22,89,318,1,2,5,3,11
5710,1970,54,Graduation,Together,40548,31,110,0,5,2,0,3,120,2,2,1,4,9
7373,1952,72,PhD,Divorced,46610,8,96,12,96,33,22,43,302,6,4,1,6,17
8755,1946,78,Master,Married,68657,4,482,34,471,119,68,22,1196,1,3,5,9,18
10738,1951,73,Master,Single,49389,55,40,0,19,2,1,3,65,1,2,0,3,6
4339,1970,54,PhD,Married,67353,37,702,17,151,0,8,35,913,5,5,6,12,28
10755,1976,48,2n Cycle,Married,23718,76,6,3,14,15,7,36,81,3,3,1,2,9
8595,1973,51,Graduation,Widow,42429,99,55,0,6,2,0,4,67,2,1,1,3,7
2968,1943,81,PhD,Divorced,48948,53,437,8,206,160,49,42,902,2,7,10,5,24
8601,1980,44,Graduation,Married,80011,3,421,76,536,82,178,102,1395,2,8,6,5,21
503,1985,39,Master,Married,20559,88,13,1,29,3,0,7,53,2,2,0,3,7
8430,1957,67,Graduation,Together,21994,4,9,0,6,3,1,3,22,1,0,0,3,4
7281,1959,65,PhD,Single,,80,81,11,50,3,2,39,186,1,1,3,4,9
2139,1975,49,Master,Married,7500,19,3,1,10,3,2,12,31,3,2,0,3,8
1371,1976,48,Graduation,Single,79941,72,123,164,266,227,30,174,984,1,2,4,9,16
